"State","EV","pop2010","dem04","rep04","dem08","rep08","dem12","rep12","dem16","rep16"
"AK",3,710231,111025,190889,123594,193841,122640,164676,116454,163387
"AL",9,4779736,693933,1176394,813479,1266546,795696,1255925,729547,1318255
"AR",6,2915918,469953,572898,422310,638017,394409,647744,380494,684872
"AZ",11,6392017,893524,1104294,1034707,1230111,1025232,1233654,1161167,1252401
"CA",55,37253956,6745485,5509826,8274473,5011781,7854285,4839958,8753788,4483810
"CO",9,5029196,1001732,1101255,1288633,1073629,1323101,1185243,1338870,1202484
"CT",7,3574097,857488,693826,997772,629428,905083,634892,897572,673215
"DC",3,601723,202970,21256,245800,17367,267070,21381,282830,12723
"DE",3,897934,200152,171660,255459,152374,242584,165484,235603,185127
"FL",29,18801310,3583544,3964522,4282074,4045624,4237756,4163447,4504975,4617886
"GA",16,9687653,1366149,1914254,1844123,2048759,1773827,2078688,1877963,2089104
"HI",4,1360301,231708,194191,325871,120566,306658,121015,266891,128847
"IA",6,3046355,741898,751957,828940,682379,822544,730617,653669,800983
"ID",4,1567582,181098,409235,236440,403012,212787,420911,189765,409055
"IL",20,12830632,2891550,2345946,3419348,2031179,3019512,2135216,3090729,2146015
"IN",11,6483802,969011,1479438,1374039,1345648,1152887,1420543,1033126,1557286
"KS",6,2853118,434993,736456,514765,699655,440726,692634,427005,671018
"KY",8,4339367,712733,1069439,751985,1048462,679370,1087190,628854,1202971
"LA",8,4533372,820299,1102169,782989,1148275,809141,1152262,780154,1178638
"MA",11,6547629,1803800,1071109,1904097,1108854,1921290,1188314,1995196,1090893
"MD",10,5773552,1334493,1024703,1629467,959862,1677844,971869,1677928,943169
"ME",4,1328361,396842,330201,421923,295273,401306,292276,357735,335593
"MI",16,9883640,2479182,2313746,2872579,2048639,2564569,2115256,2268839,2279543
"MN",10,5303925,1445014,1346695,1573354,1275409,1546167,1320225,1367716,1322951
"MO",10,5988927,1259171,1455713,1441911,1445814,1223796,1482440,1071068,1594511
"MS",6,2967297,458094,684981,554662,724597,562949,710746,485131,700714
"MT",3,989415,173710,266063,231667,242763,201839,267928,177709,279240
"NC",15,1486170,1525849,1961166,2142651,2128474,2178391,2270395,2189316,2362631
"ND",3,672591,111052,196651,141278,168601,124827,188163,93758,216794
"NE",5,1826341,254328,512814,333319,452979,302081,475064,284494,495961
"NH",4,1316470,340511,331237,384826,316534,369561,329918,348526,345790
"NJ",14,8791894,1911430,1670003,2215422,1613207,2125101,1477568,2148278,1601933
"NM",5,2059179,370942,376930,472422,346832,415335,335788,385234,319667
"NV",6,2700551,397190,418690,533736,412827,531373,463567,539260,512058
"NY",29,19378102,4314280,2962567,4804945,2752771,4485741,2490431,4556124,2819534
"OH",18,11536504,2741167,2859768,2940044,2677820,2827709,2661437,2394164,2841005
"OK",7,3751351,503966,959792,502496,960165,443547,891325,420375,949136
"OR",7,3831074,943163,866831,1037291,738475,970488,754175,1002106,782403
"PA",20,12702379,2938095,2793847,3276363,2655885,2990274,2680434,2926441,2970733
"RI",4,1052567,259765,169046,296571,165391,279677,157204,252525,180543
"SC",9,4625364,661699,937974,862449,1034896,865941,1071645,855373,1155389
"SD",3,814180,149244,232584,170924,203054,145039,210610,117458,227721
"TN",11,6346105,1036477,1384375,1087437,1479178,960709,1462330,870695,1522925
"TX",38,25145561,2832704,4526917,3528633,4479328,3308124,4569843,3877868,4685047
"UT",6,2763885,241199,663742,327670,596030,251813,740600,310676,515231
"VA",13,8001024,1454742,1716959,1959532,1725005,1971820,1822522,1981473,1769443
"VT",3,625741,184067,121180,219262,98974,199239,92698,178573,95369
"WA",12,6724540,1510201,1304894,1750848,1229216,1755396,1290670,1742718,1221747
"WI",10,5686986,1489504,1478120,1677211,1262393,1620985,1407966,1382536,1405284
"WV",5,1852994,326541,423778,303857,397466,238269,417655,188794,489371
"WY",3,563626,70776,167629,82868,164958,69286,170962,55973,174419
